r (mm),t_after_fine (mm)
0.914,0.10137781137440251
0.916,0.10137781137440251
0.918,0.10137781137440251
0.92,0.10137781137440251
0.922,0.10137781137440251
0.924,0.10137781137440251
0.926,0.10137781137440251
0.928,0.10137781137440251
0.93,0.10137781137440251
0.932,0.10137781137440251
0.934,0.10137781137440251
0.936,0.10137781137440251
0.9380000000000001,0.10137781137440251
0.9400000000000001,0.10137781137440251
0.9420000000000001,0.10137781137440251
0.9440000000000001,0.10137781137440251
0.9460000000000001,0.10137781137440251
0.9480000000000001,0.10137781137440251
0.9500000000000001,0.10137781137440251
0.9520000000000001,0.10137781137440251
0.9540000000000001,0.10137781137440251
0.9560000000000001,0.10137781137440251
0.9580000000000001,0.10137781137440251
0.96,0.10137781137440251
0.962,0.10137781137440251
0.964,0.10137781137440251
0.966,0.10137781137440251
0.968,0.10137781137440251
0.97,0.10137781137440251
0.972,0.10137781137440251
0.974,0.10137781137440251
0.976,0.10137781137440251
0.978,0.10137781137440251
0.98,0.10137781137440251
0.982,0.10137781137440251
0.984,0.10137781137440251
0.986,0.10137781137440251
0.988,0.10137781137440251
0.99,0.10137781137440251
0.992,0.10137781137440251
0.994,0.10137781137440251
0.996,0.10137781137440251
0.998,0.10137781137440251
1.0,0.10137781137440251
1.002,0.10137781137440251
1.004,0.10137781137440251
1.006,0.10137781137440251
1.008,0.10137781137440251
1.01,0.10137781137440251
1.012,0.10137781137440251
1.014,0.10137781137440251
1.016,0.10137781137440251
1.018,0.10137781137440251
1.02,0.10137781137440251
1.022,0.10137781137440251
1.024,0.10137781137440251
1.026,0.10137781137440251
1.028,0.10137781137440251
1.03,0.10137781137440251
1.032,0.10137781137440251
1.034,0.10137781137440251
1.036,0.10137781137440251
1.038,0.10137781137440251
1.04,0.10137781137440251
1.042,0.10137781137440251
1.044,0.10137781137440251
1.046,0.10137781137440251
1.048,0.10137781137440251
1.05,0.10137781137440251
1.052,0.10137781137440251
1.054,0.10137781137440251
1.056,0.10137781137440251
1.058,0.10137781137440251
1.06,0.10137781137440251
1.062,0.10137781137440251
1.064,0.10137781137440251
1.066,0.10137781137440251
1.068,0.10137781137440251
1.07,0.10137781137440251
1.072,0.10137781137440251
1.074,0.10137781137440251
1.076,0.10137781137440251
1.078,0.10137781137440251
1.08,0.10137781137440251
1.082,0.10137781137440251
1.084,0.10137781137440251
1.086,0.10137781137440251
1.088,0.10137781137440251
1.09,0.10137781137440251
1.092,0.10137781137440251
1.094,0.10137781137440251
1.096,0.10137781137440251
1.098,0.10137781137440251
1.1,0.10137781137440251
1.102,0.10137781137440251
1.104,0.10137781137440251
1.106,0.10137781137440251
1.108,0.10137781137440251
1.11,0.10137781137440251
1.112,0.10137781137440251
1.114,0.10137781137440251
1.116,0.10137781137440251
1.118,0.10137781137440251
1.12,0.10137781137440251
1.122,0.10137781137440251
1.124,0.10137781137440251
1.1260000000000001,0.10137781137440251
1.1280000000000001,0.10137781137440251
1.1300000000000001,0.10137781137440251
1.1320000000000001,0.10137781137440251
1.1340000000000001,0.10137781137440251
1.1360000000000001,0.10137781137440251
