r_mm,t_mm,B_r
0.12000000000000001,0.1013778113744025,8.983814571255936
0.122,0.1013778113744025,8.983271066915547
0.124,0.1013778113744025,8.982718612733072
0.126,0.1013778113744025,8.982157210363782
0.128,0.1013778113744025,8.981586861489692
0.13,0.1013778113744025,8.981007567819548
0.132,0.1013778113744025,8.98041933108882
0.134,0.1013778113744025,8.979822153059692
0.13600000000000004,0.1013778113744025,8.979216035521057
0.138,0.1013778113744025,8.978600980288507
0.14,0.1013778113744025,8.977976989204317
0.142,0.1013778113744025,8.977344064137448
0.14400000000000002,0.1013778113744025,8.97670220698353
0.146,0.1013778113744025,8.976051419664849
0.148,0.1013778113744025,8.975391704130347
0.15,0.1013778113744025,8.974723062355604
0.152,0.1013778113744025,8.974045496342836
0.154,0.1013778113744025,8.973359008120873
0.156,0.1013778113744025,8.972663599745168
0.158,0.1013778113744025,8.971959273297761
0.16,0.1013778113744025,8.971246030887295
0.162,0.1013778113744025,8.970523874648988
0.164,0.1013778113744025,8.969792806744627
0.16600000000000004,0.1013778113744025,8.969052829362555
0.168,0.1013778113744025,8.968303944717674
0.17,0.1013778113744025,8.967546155051409
0.172,0.1013778113744025,8.96677946263172
0.174,0.1013778113744025,8.966003869753079
0.176,0.1013778113744025,8.965219378736457
0.178,0.1013778113744025,8.964425991929321
0.18,0.1013778113744025,8.96362371170562
0.182,0.1013778113744025,8.962812540465764
0.184,0.1013778113744025,8.96199248063662
0.186,0.1013778113744025,8.961163534671504
0.18800000000000003,0.1013778113744025,8.960325705050156
0.19,0.1013778113744025,8.959478994278745
0.192,0.1013778113744025,8.958623404889835
0.194,0.1013778113744025,8.95775893944239
0.196,0.1013778113744025,8.956885600521758
0.198,0.1013778113744025,8.956003390739653
0.2,0.1013778113744025,8.95511231273414
0.202,0.1013778113744025,8.954212369169632
0.204,0.1013778113744025,8.953303562736867
0.206,0.1013778113744025,8.952385896152904
0.208,0.1013778113744025,8.951459372161095
0.21000000000000002,0.1013778113744025,8.950523993531089
0.212,0.1013778113744025,8.949579763058805
0.214,0.1013778113744025,8.948626683566424
0.216,0.1013778113744025,8.94766475790237
0.21800000000000003,0.1013778113744025,8.946693988941306
0.22,0.1013778113744025,8.945714379584109
0.222,0.1013778113744025,8.944725932757857
0.224,0.1013778113744025,8.943728651415823
0.226,0.1013778113744025,8.942722538537451
0.228,0.1013778113744025,8.941707597128339
0.23,0.1013778113744025,8.940683830220243
0.23200000000000004,0.1013778113744025,8.939651240871035
0.234,0.1013778113744025,8.938609832164707
0.236,0.1013778113744025,8.937559607211353
0.238,0.1013778113744025,8.936500569147144
0.24000000000000002,0.1013778113744025,8.93543272113432
0.242,0.1013778113744025,8.934356066361175
0.244,0.1013778113744025,8.93327060804204
0.24600000000000002,0.1013778113744025,8.932176349417265
0.248,0.1013778113744025,8.931073293753203
0.25,0.1013778113744025,8.929961444342192
0.252,0.1013778113744025,8.928840804502546
0.254,0.1013778113744025,8.927711377578538
0.256,0.1013778113744025,8.926573166940365
0.25800000000000006,0.1013778113744025,8.92542617598416
0.26,0.1013778113744025,8.924270408131955
0.262,0.1013778113744025,8.923105866831666
0.264,0.1013778113744025,8.921932555557085
0.266,0.1013778113744025,8.920750477807854
0.268,0.1013778113744025,8.919559637109451
0.27,0.1013778113744025,8.918360037013175
0.2720000000000001,0.1013778113744025,8.91715168109612
0.274,0.1013778113744025,8.915934572961172
0.276,0.1013778113744025,8.914708716236971
0.278,0.1013778113744025,8.91347411457791
0.28,0.1013778113744025,8.912230771664111
0.282,0.1013778113744025,8.910978691201406
0.284,0.1013778113744025,8.909717876921315
0.286,0.1013778113744025,8.908448332581036
0.28800000000000003,0.1013778113744025,8.90717006196342
0.29,0.1013778113744025,8.905883068876957
