r_mm,mirror_before_um,mirror_after_um
0.324,271.19999999999993,274.3999999999999
0.326,271.19999999999993,274.3999999999999
0.328,271.19999999999993,274.3999999999999
0.33,271.19999999999993,274.3999999999999
0.332,271.19999999999993,274.3999999999999
0.334,271.19999999999993,274.3999999999999
0.336,271.19999999999993,274.3999999999999
0.338,271.19999999999993,274.3999999999999
0.34,271.19999999999993,274.3999999999999
0.342,271.19999999999993,274.3999999999999
0.34400000000000003,271.19999999999993,274.3999999999999
0.34600000000000003,271.19999999999993,274.3999999999999
0.34800000000000003,271.19999999999993,274.3999999999999
0.35000000000000003,271.19999999999993,274.3999999999999
0.352,271.19999999999993,274.3999999999999
0.354,271.19999999999993,274.3999999999999
0.356,271.19999999999993,274.3999999999999
0.358,271.19999999999993,274.3999999999999
0.36,271.19999999999993,274.3999999999999
0.362,271.19999999999993,274.3999999999999
0.364,271.19999999999993,274.3999999999999
0.366,271.19999999999993,274.3999999999999
0.368,271.19999999999993,274.3999999999999
0.37,271.19999999999993,274.3999999999999
0.372,271.19999999999993,274.3999999999999
0.374,271.19999999999993,274.3999999999999
0.376,271.19999999999993,274.3999999999999
0.378,271.19999999999993,274.3999999999999
0.38,271.19999999999993,274.3999999999999
0.382,271.19999999999993,274.3999999999999
0.384,271.19999999999993,274.3999999999999
0.386,271.19999999999993,274.3999999999999
0.388,271.19999999999993,274.3999999999999
0.39,271.19999999999993,274.3999999999999
0.392,271.19999999999993,274.3999999999999
0.394,271.19999999999993,274.3999999999999
0.396,271.19999999999993,274.3999999999999
0.398,271.19999999999993,274.3999999999999
0.4,271.19999999999993,274.3999999999999
0.402,271.19999999999993,274.3999999999999
0.404,271.19999999999993,274.3999999999999
0.406,271.19999999999993,274.3999999999999
0.40800000000000003,271.19999999999993,274.3999999999999
0.41000000000000003,271.19999999999993,274.3999999999999
0.41200000000000003,271.19999999999993,274.3999999999999
0.41400000000000003,271.19999999999993,274.3999999999999
0.41600000000000004,271.19999999999993,274.3999999999999
0.418,271.19999999999993,274.3999999999999
0.42,271.19999999999993,274.3999999999999
0.422,271.19999999999993,274.3999999999999
0.424,271.19999999999993,274.3999999999999
0.426,271.19999999999993,274.3999999999999
0.428,271.19999999999993,274.3999999999999
0.43,271.19999999999993,274.3999999999999
0.432,271.19999999999993,274.3999999999999
0.434,271.19999999999993,274.3999999999999
0.436,271.19999999999993,274.3999999999999
0.438,271.19999999999993,274.3999999999999
0.44,271.19999999999993,274.3999999999999
0.442,271.19999999999993,274.3999999999999
